"","Variable","Label","Antwortskala","Modul"
"1","Frage1","Ohne lange nachzudenken, als was fühlen Sie sich selbst am ehesten?","1 als Bewohner/-in meines Ortsteils oder Quartiers, 2 als Einwohner/-in meiner Wohngemeinde/meiner Stadt, 3 als Einwohner/-in meiner Region (z.B. Zürcher Weinland, Zürcher Unterland, Zürcher Oberland, Knonauer Amt), 4 als Einwohner/-in des Kantons Zürich, 5 als Deutschschweizer/-in, 6 als Schweizer/-in, 7 als Europäer/-in, 8 als Weltbürger/-in, NA ""weiss nicht""/""keine Angabe""","1"
"2","Frage2_SQ001","Ich fühle mich in meiner Wohngemeinde","1 überhaupt nicht wohl, 2 eher nicht wohl, 3 eher  wohl, 4 sehr  wohl, NA ""weiss nicht""/""keine Angabe""","2"
"3","Frage3_SQ001","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Verkehrstechnisch gute Erschliessung (Strassenverkehr)","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"4","Frage3_SQ002","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Lebendiges Vereinswesen","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"5","Frage3_SQ003","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Gute Schulen","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"6","Frage3_SQ004","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Effiziente Gemeindeverwaltung  ","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"7","Frage3_SQ005","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Naturnähe","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"8","Frage3_SQ006","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Tiefe Steuern","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"9","Frage3_SQ007","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Gute Einkaufsmöglichkeiten","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"10","Frage3_SQ008","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Gutes Freizeit- und Kulturangebot","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"11","Frage3_SQ009","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Vielfältiges Angebot für Wohnen und Pflege im Alter","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"12","Frage3_SQ010","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Beratung und Hilfe für bedürftige Personen","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"13","Frage3_SQ011","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Gepflegte Umgebung","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"14","Frage3_SQ012","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Lebendiges Quartierleben/Nachbarschaft","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"15","Frage3_SQ013","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Freunde/Familie in der Nähe","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"16","Frage3_SQ014","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Gutes Preis-Leistungs-Verhältnis meiner Wohnung","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"17","Frage3_SQ015","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Ausgebautes Angebot zur Kinderbetreuung","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"18","Frage3_SQ016","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Geringe Lärmbelastung","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"19","Frage3_SQ017","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Gute Anbindung an den öffentlichen Verkehr","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"20","Frage3_SQ018","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Hohes Sicherheitsgefühl","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"21","Frage3_SQ019","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Nähe zum Arbeits-/Ausbildungsort","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"22","Frage4_SQ001","Alles in allem bin ich mit den Dienstleistungen meiner Wohngemeinde …","1 überhaupt nicht zufrieden, 2 eher nicht zufrieden, 3 eher zufrieden, 4 sehr zufrieden, NA ""weiss nicht""/""keine Angabe"" ","4"
"23","Frage5_SQ001","Stellen Sie sich eine für Sie ideale Wohngemeinde vor. Wie wichtig ist es Ihnen, dass folgende Dienstleistungen in einer solchen idealen Wohngemeinde erbracht werden? Regelmässige Information der Bevölkerung über Gemeindeangelegenheiten","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","5"
"24","Frage5_SQ002","Stellen Sie sich eine für Sie ideale Wohngemeinde vor. Wie wichtig ist es Ihnen, dass folgende Dienstleistungen in einer solchen idealen Wohngemeinde erbracht werden? Bedienter Schalter der Gemeindeverwaltung","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","5"
"25","Frage5_SQ003","Stellen Sie sich eine für Sie ideale Wohngemeinde vor. Wie wichtig ist es Ihnen, dass folgende Dienstleistungen in einer solchen idealen Wohngemeinde erbracht werden? Öffentliche Sicherheit und Ordnung","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","5"
"26","Frage5_SQ004","Stellen Sie sich eine für Sie ideale Wohngemeinde vor. Wie wichtig ist es Ihnen, dass folgende Dienstleistungen in einer solchen idealen Wohngemeinde erbracht werden? Kommunale Raumplanung (Bau- und Zonenordnung) ","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","5"
"27","Frage5_SQ005","Stellen Sie sich eine für Sie ideale Wohngemeinde vor. Wie wichtig ist es Ihnen, dass folgende Dienstleistungen in einer solchen idealen Wohngemeinde erbracht werden? Gemeinde-/Stadtentwicklung und Standortförderung","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","5"
"28","Frage5_SQ006","Stellen Sie sich eine für Sie ideale Wohngemeinde vor. Wie wichtig ist es Ihnen, dass folgende Dienstleistungen in einer solchen idealen Wohngemeinde erbracht werden? Abfallentsorgung","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","5"
"29","Frage5_SQ007","Stellen Sie sich eine für Sie ideale Wohngemeinde vor. Wie wichtig ist es Ihnen, dass folgende Dienstleistungen in einer solchen idealen Wohngemeinde erbracht werden? Kindergarten, Primar- und Sekundarschulen","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","5"
"30","Frage5_SQ008","Stellen Sie sich eine für Sie ideale Wohngemeinde vor. Wie wichtig ist es Ihnen, dass folgende Dienstleistungen in einer solchen idealen Wohngemeinde erbracht werden? Hilfe für Bedürftige/Sozialhilfe","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","5"
"31","Frage5_SQ009","Stellen Sie sich eine für Sie ideale Wohngemeinde vor. Wie wichtig ist es Ihnen, dass folgende Dienstleistungen in einer solchen idealen Wohngemeinde erbracht werden? Unterstützung und Betreuung älterer Personen/Spitex","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","5"
"32","Frage5_SQ010","Stellen Sie sich eine für Sie ideale Wohngemeinde vor. Wie wichtig ist es Ihnen, dass folgende Dienstleistungen in einer solchen idealen Wohngemeinde erbracht werden? Angebote im Bereich Wohnen im Alter","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","5"
"33","Frage5_SQ011","Stellen Sie sich eine für Sie ideale Wohngemeinde vor. Wie wichtig ist es Ihnen, dass folgende Dienstleistungen in einer solchen idealen Wohngemeinde erbracht werden? Kindes- und Erwachsenenschutz/KESB","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","5"
"34","Frage5_SQ012","Stellen Sie sich eine für Sie ideale Wohngemeinde vor. Wie wichtig ist es Ihnen, dass folgende Dienstleistungen in einer solchen idealen Wohngemeinde erbracht werden? Freizeitangebote für Kinder und Jugendliche","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","5"
"35","Frage5_SQ013","Stellen Sie sich eine für Sie ideale Wohngemeinde vor. Wie wichtig ist es Ihnen, dass folgende Dienstleistungen in einer solchen idealen Wohngemeinde erbracht werden?Angebote zur familienergänzenden Kinderbetreuung","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","5"
"36","Frage5_SQ014","Stellen Sie sich eine für Sie ideale Wohngemeinde vor. Wie wichtig ist es Ihnen, dass folgende Dienstleistungen in einer solchen idealen Wohngemeinde erbracht werden?Kulturangebot","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","5"
"37","Frage5_SQ015","Stellen Sie sich eine für Sie ideale Wohngemeinde vor. Wie wichtig ist es Ihnen, dass folgende Dienstleistungen in einer solchen idealen Wohngemeinde erbracht werden? Sport- und Freizeitangebot","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","5"
"38","Frage5_SQ016","Stellen Sie sich eine für Sie ideale Wohngemeinde vor. Wie wichtig ist es Ihnen, dass folgende Dienstleistungen in einer solchen idealen Wohngemeinde erbracht werden? Unterhalt Strasseninfrastruktur ","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","5"
"39","Frage5_SQ017","Stellen Sie sich eine für Sie ideale Wohngemeinde vor. Wie wichtig ist es Ihnen, dass folgende Dienstleistungen in einer solchen idealen Wohngemeinde erbracht werden? Veloinfrastruktur","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","5"
"40","Frage5_SQ018","Stellen Sie sich eine für Sie ideale Wohngemeinde vor. Wie wichtig ist es Ihnen, dass folgende Dienstleistungen in einer solchen idealen Wohngemeinde erbracht werden? Natur- und Umweltschutz","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","5"
"41","Frage6_SQ001","Bitte geben Sie für die folgenden Dienstleistungen in Ihrer Gemeinde an, ob Sie persönlich damit zufrieden sind oder nicht: regelmässige Information der Bevölkerung über Gemeindeangelegenheiten","1 ganz und gar unzufrieden, 2, 3, 4, 5, 6, 7 vollständig zufrieden, NA ""weiss nicht""/""keine Angabe""","6"
"42","Frage6_SQ002","Bitte geben Sie für die folgenden Dienstleistungen in Ihrer Gemeinde an, ob Sie persönlich damit zufrieden sind oder nicht: bedienter Schalter der Gemeindeverwaltung","1 ganz und gar unzufrieden, 2, 3, 4, 5, 6, 7 vollständig zufrieden, NA ""weiss nicht""/""keine Angabe""","6"
"43","Frage6_SQ003","Bitte geben Sie für die folgenden Dienstleistungen in Ihrer Gemeinde an, ob Sie persönlich damit zufrieden sind oder nicht: Öffentliche Sicherheit und Ordnung","1 ganz und gar unzufrieden, 2, 3, 4, 5, 6, 7 vollständig zufrieden, NA ""weiss nicht""/""keine Angabe""","6"
"44","Frage6_SQ004","Bitte geben Sie für die folgenden Dienstleistungen in Ihrer Gemeinde an, ob Sie persönlich damit zufrieden sind oder nicht: Kommunale Raumplanung (Bau- und Zonenordnung) ","1 ganz und gar unzufrieden, 2, 3, 4, 5, 6, 7 vollständig zufrieden, NA ""weiss nicht""/""keine Angabe""","6"
"45","Frage6_SQ005","Bitte geben Sie für die folgenden Dienstleistungen in Ihrer Gemeinde an, ob Sie persönlich damit zufrieden sind oder nicht: Gemeinde-/Stadtentwicklung und Standortförderung","1 ganz und gar unzufrieden, 2, 3, 4, 5, 6, 7 vollständig zufrieden, NA ""weiss nicht""/""keine Angabe""","6"
"46","Frage6_SQ006","Bitte geben Sie für die folgenden Dienstleistungen in Ihrer Gemeinde an, ob Sie persönlich damit zufrieden sind oder nicht: Abfallentsorgung","1 ganz und gar unzufrieden, 2, 3, 4, 5, 6, 7 vollständig zufrieden, NA ""weiss nicht""/""keine Angabe""","6"
"47","Frage6_SQ007","Bitte geben Sie für die folgenden Dienstleistungen in Ihrer Gemeinde an, ob Sie persönlich damit zufrieden sind oder nicht: Kindergarten, Primar- und Sekundarschulen","1 ganz und gar unzufrieden, 2, 3, 4, 5, 6, 7 vollständig zufrieden, NA ""weiss nicht""/""keine Angabe""","6"
"48","Frage6_SQ008","Bitte geben Sie für die folgenden Dienstleistungen in Ihrer Gemeinde an, ob Sie persönlich damit zufrieden sind oder nicht: Hilfe für Bedürftige/Sozialhilfe","1 ganz und gar unzufrieden, 2, 3, 4, 5, 6, 7 vollständig zufrieden, NA ""weiss nicht""/""keine Angabe""","6"
"49","Frage6_SQ009","Bitte geben Sie für die folgenden Dienstleistungen in Ihrer Gemeinde an, ob Sie persönlich damit zufrieden sind oder nicht: Unterstützung und Betreuung älterer Personen/Spitex","1 ganz und gar unzufrieden, 2, 3, 4, 5, 6, 7 vollständig zufrieden, NA ""weiss nicht""/""keine Angabe""","6"
"50","Frage6_SQ010","Bitte geben Sie für die folgenden Dienstleistungen in Ihrer Gemeinde an, ob Sie persönlich damit zufrieden sind oder nicht: Angebote im Bereich Wohnen im Alter","1 ganz und gar unzufrieden, 2, 3, 4, 5, 6, 7 vollständig zufrieden, NA ""weiss nicht""/""keine Angabe""","6"
"51","Frage6_SQ011","Bitte geben Sie für die folgenden Dienstleistungen in Ihrer Gemeinde an, ob Sie persönlich damit zufrieden sind oder nicht: Kindes- und Erwachsenenschutz/KESB","1 ganz und gar unzufrieden, 2, 3, 4, 5, 6, 7 vollständig zufrieden, NA ""weiss nicht""/""keine Angabe""","6"
"52","Frage6_SQ012","Bitte geben Sie für die folgenden Dienstleistungen in Ihrer Gemeinde an, ob Sie persönlich damit zufrieden sind oder nicht: Freizeitangebote für Kinder und Jugendliche","1 ganz und gar unzufrieden, 2, 3, 4, 5, 6, 7 vollständig zufrieden, NA ""weiss nicht""/""keine Angabe""","6"
"53","Frage6_SQ013","Bitte geben Sie für die folgenden Dienstleistungen in Ihrer Gemeinde an, ob Sie persönlich damit zufrieden sind oder nicht: Angebote zur familienergänzenden Kinderbetreuung","1 ganz und gar unzufrieden, 2, 3, 4, 5, 6, 7 vollständig zufrieden, NA ""weiss nicht""/""keine Angabe""","6"
"54","Frage6_SQ014","Bitte geben Sie für die folgenden Dienstleistungen in Ihrer Gemeinde an, ob Sie persönlich damit zufrieden sind oder nicht: Kulturangebot","1 ganz und gar unzufrieden, 2, 3, 4, 5, 6, 7 vollständig zufrieden, NA ""weiss nicht""/""keine Angabe""","6"
"55","Frage6_SQ015","Bitte geben Sie für die folgenden Dienstleistungen in Ihrer Gemeinde an, ob Sie persönlich damit zufrieden sind oder nicht: Sport- und Freizeitangebot","1 ganz und gar unzufrieden, 2, 3, 4, 5, 6, 7 vollständig zufrieden, NA ""weiss nicht""/""keine Angabe""","6"
"56","Frage6_SQ016","Bitte geben Sie für die folgenden Dienstleistungen in Ihrer Gemeinde an, ob Sie persönlich damit zufrieden sind oder nicht: Unterhalt Strasseninfrastruktur ","1 ganz und gar unzufrieden, 2, 3, 4, 5, 6, 7 vollständig zufrieden, NA ""weiss nicht""/""keine Angabe""","6"
"57","Frage6_SQ017","Bitte geben Sie für die folgenden Dienstleistungen in Ihrer Gemeinde an, ob Sie persönlich damit zufrieden sind oder nicht: Veloinfrastruktur","1 ganz und gar unzufrieden, 2, 3, 4, 5, 6, 7 vollständig zufrieden, NA ""weiss nicht""/""keine Angabe""","6"
"58","Frage6_SQ018","Bitte geben Sie für die folgenden Dienstleistungen in Ihrer Gemeinde an, ob Sie persönlich damit zufrieden sind oder nicht: Natur- und Umweltschutz","1 ganz und gar unzufrieden, 2, 3, 4, 5, 6, 7 vollständig zufrieden, NA ""weiss nicht""/""keine Angabe""","6"
"59","Frage7_A1","Die Steuern sind im Vergleich zu dem, was ich bekomme …","1 viel zu  tief, 2 eher zu  tief, 3 gerade angemessen, 4 eher zu  hoch, 5 viel zu hoch, NA ""weiss nicht""/""keine Angabe""","7"
"60","Frage8_1","Welche Themen sollen von Ihrer Wohngemeinde in Zukunft noch verstärkt finanziell gefördert werden? (1. Priorität)","1 Förderung Kultur und Sport, 2 Bildung (öffentliche Schulen, Kindergarten), 3 Sicherheit (Polizei, Feuerwehr, Zivilschutz), 4 Öffentlicher Verkehr, 5 Strasseninfrastruktur, 6 Gesundheitsförderung und Prävention, 7 Unterstützung von Personen in wirtschaftlicher Notlage, 8 Verwaltungsdienstleistungen, 9 Familienergänzende Kinderbetreuung, 10 Pflege öffentlicher Räume (Parks, Spielplätze, etc.), 11 Angebote Wohnen und Betreuung im Alter, 12 Wohnungsbau/Bauplanung, 13 Integrationsförderung ausländischer Bevölkerung, 14 Förderung des kommunalen Wirtschaftsstandorts, 15 Naturschutz, 16 Anderes, NA ""weiss nicht""/""keine Antwort""","8"
"61","Frage8_2","Welche Themen sollen von Ihrer Wohngemeinde in Zukunft noch verstärkt finanziell gefördert werden? (2. Priorität)","1 Förderung Kultur und Sport, 2 Bildung (öffentliche Schulen, Kindergarten), 3 Sicherheit (Polizei, Feuerwehr, Zivilschutz), 4 Öffentlicher Verkehr, 5 Strasseninfrastruktur, 6 Gesundheitsförderung und Prävention, 7 Unterstützung von Personen in wirtschaftlicher Notlage, 8 Verwaltungsdienstleistungen, 9 Familienergänzende Kinderbetreuung, 10 Pflege öffentlicher Räume (Parks, Spielplätze, etc.), 11 Angebote Wohnen und Betreuung im Alter, 12 Wohnungsbau/Bauplanung, 13 Integrationsförderung ausländischer Bevölkerung, 14 Förderung des kommunalen Wirtschaftsstandorts, 15 Naturschutz, 16 Anderes, NA ""weiss nicht""/""keine Antwort""","8"
"62","Frage8_3","Welche Themen sollen von Ihrer Wohngemeinde in Zukunft noch verstärkt finanziell gefördert werden? (3. Priorität)","1 Förderung Kultur und Sport, 2 Bildung (öffentliche Schulen, Kindergarten), 3 Sicherheit (Polizei, Feuerwehr, Zivilschutz), 4 Öffentlicher Verkehr, 5 Strasseninfrastruktur, 6 Gesundheitsförderung und Prävention, 7 Unterstützung von Personen in wirtschaftlicher Notlage, 8 Verwaltungsdienstleistungen, 9 Familienergänzende Kinderbetreuung, 10 Pflege öffentlicher Räume (Parks, Spielplätze, etc.), 11 Angebote Wohnen und Betreuung im Alter, 12 Wohnungsbau/Bauplanung, 13 Integrationsförderung ausländischer Bevölkerung, 14 Förderung des kommunalen Wirtschaftsstandorts, 15 Naturschutz, 16 Anderes, NA ""weiss nicht""/""keine Antwort""","8"
"63","Frage8_4","Welche Themen sollen von Ihrer Wohngemeinde in Zukunft noch verstärkt finanziell gefördert werden? (4. Priorität)","1 Förderung Kultur und Sport, 2 Bildung (öffentliche Schulen, Kindergarten), 3 Sicherheit (Polizei, Feuerwehr, Zivilschutz), 4 Öffentlicher Verkehr, 5 Strasseninfrastruktur, 6 Gesundheitsförderung und Prävention, 7 Unterstützung von Personen in wirtschaftlicher Notlage, 8 Verwaltungsdienstleistungen, 9 Familienergänzende Kinderbetreuung, 10 Pflege öffentlicher Räume (Parks, Spielplätze, etc.), 11 Angebote Wohnen und Betreuung im Alter, 12 Wohnungsbau/Bauplanung, 13 Integrationsförderung ausländischer Bevölkerung, 14 Förderung des kommunalen Wirtschaftsstandorts, 15 Naturschutz, 16 Anderes, NA ""weiss nicht""/""keine Antwort""","8"
"64","Frage8_5","Welche Themen sollen von Ihrer Wohngemeinde in Zukunft noch verstärkt finanziell gefördert werden? (5. Priorität)","1 Förderung Kultur und Sport, 2 Bildung (öffentliche Schulen, Kindergarten), 3 Sicherheit (Polizei, Feuerwehr, Zivilschutz), 4 Öffentlicher Verkehr, 5 Strasseninfrastruktur, 6 Gesundheitsförderung und Prävention, 7 Unterstützung von Personen in wirtschaftlicher Notlage, 8 Verwaltungsdienstleistungen, 9 Familienergänzende Kinderbetreuung, 10 Pflege öffentlicher Räume (Parks, Spielplätze, etc.), 11 Angebote Wohnen und Betreuung im Alter, 12 Wohnungsbau/Bauplanung, 13 Integrationsförderung ausländischer Bevölkerung, 14 Förderung des kommunalen Wirtschaftsstandorts, 15 Naturschutz, 16 Anderes, NA ""weiss nicht""/""keine Antwort""","8"
"65","Frage9","Welche Bandbreite der kommunalen Steuerfüsse finden Sie angemessen?","1 72% bis 130% (58 Prozentpunkte Unterschied, aktuelle Situation im Kanton Zürich), 2 eine kleinere Bandbreite, 3 eine grössere Bandbreite, NA ""weiss nicht""/""keine Angabe""","9"
"66","Frage10_SQ002","Welchen minimalen Steuerfuss finden Sie angemessen?","Prozentangabe, NA ""weiss nicht""/""keine Angabe""","10"
"67","Frage10b_SQ001","Welchen maximalen Steuerfuss finden Sie angemessen?","Prozentangabe, NA ""weiss nicht""/""keine Angabe""","10"
"68","Frage11_SQ001","Wären Sie generell bereit, Dienstleistungen, die Ihre Wohngemeinde erbringt, in Zukunft in einer Nachbargemeinde zu beziehen?","1 gar nicht bereit, 2 je nach  dem, 3 generell bereit, NA ""weiss nicht""/""keine Angabe""","11"
"69","Frage12_SQ001","Wenn Gemeinden bestimmte Aufgaben nicht mehr selbständig erfüllen können, dann sollten sie diese Leistungen nicht mehr anbieten.","1 überhaupt nicht einverstanden, 2 eher nicht einverstanden, 3 eher einverstanden, 4 sehr einverstanden, NA ""weiss nicht""/""keine Angabe""","12"
"70","Frage12_SQ002","Wenn Gemeinden bestimmte Aufgaben nicht mehr selbständig erfüllen können, dann sollten sie diese Leistungen einer Nachbargemeinde übertragen.","1 überhaupt nicht einverstanden, 2 eher nicht einverstanden, 3 eher einverstanden, 4 sehr einverstanden, NA ""weiss nicht""/""keine Angabe""","12"
"71","Frage12_SQ003","Wenn Gemeinden bestimmte Aufgaben nicht mehr selbständig erfüllen können, dann sollten sie diese Aufgaben mit anderen Gemeinden gemeinsam in einem Zweckverband oder einer Anstalt erbringen","1 überhaupt nicht einverstanden, 2 eher nicht einverstanden, 3 eher einverstanden, 4 sehr einverstanden, NA ""weiss nicht""/""keine Angabe""","12"
"72","Frage12_SQ004","Wenn Gemeinden bestimmte Aufgaben nicht mehr selbständig erfüllen können, dann sollten sie mit anderen Gemeinden fusionieren.","1 überhaupt nicht einverstanden, 2 eher nicht einverstanden, 3 eher einverstanden, 4 sehr einverstanden, NA ""weiss nicht""/""keine Angabe""","12"
"73","Frage12_SQ005","Wenn Gemeinden bestimmte Aufgaben nicht mehr selbständig erfüllen können, dann sollte der Kanton diese Aufgaben übernehmen.","1 überhaupt nicht einverstanden, 2 eher nicht einverstanden, 3 eher einverstanden, 4 sehr einverstanden, NA ""weiss nicht""/""keine Angabe""","12"
"74","Frage12_SQ006","Wenn Gemeinden bestimmte Aufgaben nicht mehr selbständig erfüllen können, dann sollte der Kanton die Finanzierung übernehmen.","1 überhaupt nicht einverstanden, 2 eher nicht einverstanden, 3 eher einverstanden, 4 sehr einverstanden, NA ""weiss nicht""/""keine Angabe""","12"
"75","Frage12_SQ007","Wenn Gemeinden bestimmte Aufgaben nicht mehr selbständig erfüllen können, dann sollten diese Aufgaben an private Organisationen übertragen werden.","1 überhaupt nicht einverstanden, 2 eher nicht einverstanden, 3 eher einverstanden, 4 sehr einverstanden, NA ""weiss nicht""/""keine Angabe""","12"
"76","Frage12_SQ008","Wenn Gemeinden bestimmte Aufgaben nicht mehr selbständig erfüllen können, dann sollten die Gemeinden die Lasten untereinander ausgleichen.","1 überhaupt nicht einverstanden, 2 eher nicht einverstanden, 3 eher einverstanden, 4 sehr einverstanden, NA ""weiss nicht""/""keine Angabe""","12"
"77","methode","Wie wurde die Person befragt","online, P&P per schriftlicher Fragebogen","zusatz"
"78","geschlecht","Welches Geschlecht hat die Person?","1 männlich, 2 weiblich","zusatz"
"79","alter_koh","Welcher Alterskohorte gehört die Person an?",NA,"zusatz"
"80","aufenthaltsdauer","Wie lange wohnt die Person bereits in der Wohngemeinde?","Neuzuzüger:in 0 bis 5 Jahre, Alteingesessen über 6 Jahre","zusatz"
"81","gemeinde_groesse","Wie gross ist die Gemeinde?","Anzahl Einwohnende","zusatz"
"82","bezirk_code","Bezirkscode",NA,"zusatz"
"83","bezirk_name_kurz","Bezirksname",NA,"zusatz"
